store_id,product_id,current_stock,weekly_sales_rate,expiry_date,product_price,weeks_to_expiry,label
S013,P021,152,79.86,2025-07-20,75.88,3.0,1
S020,P015,750,60.09,2025-09-26,19.0,12.71,1
S014,P008,508,86.75,2025-07-29,68.58,4.29,1
S003,P012,358,97.02,2025-08-04,29.11,5.14,1
S003,P020,241,99.23,2025-08-07,37.38,5.57,0
S020,P011,71,1.7,2025-08-23,57.23,7.86,1
S002,P017,560,14.81,2025-09-03,42.97,9.43,1
S010,P016,239,9.97,2025-09-05,27.97,9.71,1
S017,P018,616,98.34,2025-07-08,87.39,1.29,1
S009,P010,696,17.88,2025-08-13,11.19,6.43,1
S020,P027,650,96.6,2025-07-14,11.44,2.14,1
S005,P005,947,68.74,2025-09-03,20.98,9.43,1
S015,P023,558,83.49,2025-08-09,91.84,5.86,1
S018,P024,981,19.04,2025-07-09,38.05,1.43,1
S005,P003,439,21.59,2025-07-09,26.64,1.43,1
S001,P010,752,84.39,2025-08-18,94.55,7.14,1
S008,P023,319,73.0,2025-07-20,17.96,3.0,1
S007,P025,776,52.56,2025-09-05,39.28,9.71,1
S018,P007,769,74.98,2025-08-27,62.81,8.43,1
S016,P002,266,28.81,2025-08-15,36.66,6.71,1
S004,P008,862,8.38,2025-09-14,48.11,11.0,1
S008,P008,178,20.67,2025-09-06,83.39,9.86,1
S003,P004,642,71.42,2025-08-09,79.41,5.86,1
S002,P004,822,92.7,2025-08-15,92.35,6.71,1
S017,P019,250,62.71,2025-08-08,18.59,5.71,1
S019,P013,552,31.79,2025-08-11,75.66,6.14,1
S007,P017,921,28.2,2025-08-09,52.5,5.86,1
S001,P025,662,97.2,2025-07-08,78.47,1.29,1
S001,P023,267,24.36,2025-07-19,54.44,2.86,1
S015,P014,442,71.36,2025-08-16,49.54,6.86,1
S008,P030,740,4.11,2025-08-26,60.69,8.29,1
S015,P024,949,90.85,2025-07-28,64.4,4.14,1
S015,P020,704,75.8,2025-08-10,94.86,6.0,1
S011,P018,888,29.69,2025-08-02,93.67,4.86,1
S002,P028,606,30.27,2025-07-11,51.09,1.71,1
S016,P027,669,19.47,2025-08-04,89.5,5.14,1
S001,P005,689,80.94,2025-09-05,19.9,9.71,1
S012,P004,426,65.12,2025-09-20,87.47,11.86,0
S005,P005,408,17.3,2025-08-01,47.57,4.71,1
S005,P003,726,69.55,2025-08-18,31.97,7.14,1
S009,P012,876,33.0,2025-08-26,42.73,8.29,1
S020,P029,546,26.14,2025-07-17,32.66,2.57,1
S014,P010,435,71.51,2025-08-30,13.32,8.86,0
S007,P016,162,97.68,2025-08-28,12.97,8.57,0
S006,P016,785,90.92,2025-07-24,71.26,3.57,1
S019,P015,102,49.46,2025-08-06,59.76,5.43,0
S020,P001,296,67.54,2025-09-18,43.27,11.57,0
S004,P015,450,73.09,2025-07-29,52.33,4.29,1
S008,P023,659,63.72,2025-07-16,83.48,2.43,1
S013,P007,193,83.69,2025-09-02,26.79,9.29,0
S015,P015,398,85.98,2025-09-02,29.82,9.29,0
S017,P017,395,51.7,2025-07-24,41.38,3.57,1
S012,P020,760,18.26,2025-08-07,45.78,5.57,1
S017,P001,600,93.74,2025-07-06,70.81,1.0,1
S018,P020,522,21.7,2025-08-05,88.96,5.29,1
S010,P024,660,23.63,2025-07-21,83.55,3.14,1
S008,P004,621,26.82,2025-07-06,18.38,1.0,1
S007,P025,701,56.27,2025-08-06,66.98,5.43,1
S020,P011,58,28.61,2025-07-24,75.34,3.57,1
S005,P018,180,85.78,2025-08-28,80.19,8.57,0
S013,P015,969,85.24,2025-09-15,80.68,11.14,1
S004,P006,153,61.04,2025-07-30,10.46,4.43,1
S016,P006,945,31.23,2025-09-09,72.27,10.29,1
S018,P022,769,99.45,2025-08-07,11.63,5.57,1
S007,P007,447,33.21,2025-07-25,42.98,3.71,1
S014,P027,441,85.07,2025-07-22,37.73,3.29,1
S002,P007,737,10.27,2025-07-27,31.96,4.0,1
S013,P027,87,97.91,2025-08-25,90.28,8.14,0
S020,P019,332,44.01,2025-07-26,55.24,3.86,1
S007,P022,333,67.22,2025-09-12,30.72,10.71,0
S002,P025,865,28.8,2025-08-09,79.17,5.86,1
S008,P025,561,18.53,2025-08-04,95.85,5.14,1
S013,P005,422,88.47,2025-08-11,93.55,6.14,1
S008,P016,546,55.72,2025-09-03,86.77,9.43,1
S018,P005,240,31.26,2025-08-06,86.6,5.43,1
S008,P030,305,49.04,2025-07-23,60.11,3.43,1
S015,P028,784,84.58,2025-09-10,61.31,10.43,1
S004,P016,841,21.68,2025-08-21,99.1,7.57,1
S010,P021,688,52.31,2025-07-07,39.03,1.14,1
S019,P012,153,70.0,2025-08-17,73.8,7.0,0
S010,P021,88,30.07,2025-07-31,82.91,4.57,1
S013,P006,970,61.54,2025-09-03,56.02,9.43,1
S003,P006,874,63.16,2025-07-25,68.5,3.71,1
S006,P018,561,40.28,2025-07-19,90.1,2.86,1
S019,P002,520,3.73,2025-09-09,49.46,10.29,1
S011,P029,903,33.49,2025-09-01,58.84,9.14,1
S013,P016,174,84.05,2025-09-01,12.75,9.14,0
S004,P003,741,4.84,2025-07-20,42.42,3.0,1
S013,P025,493,33.34,2025-07-13,79.3,2.0,1
S004,P004,669,62.67,2025-09-11,85.78,10.57,1
S019,P016,933,41.72,2025-08-29,22.45,8.71,1
S015,P010,705,97.61,2025-08-04,13.7,5.14,1
S016,P006,169,27.81,2025-09-01,17.06,9.14,0
S001,P019,790,19.25,2025-09-05,85.24,9.71,1
S018,P004,442,69.16,2025-07-06,25.6,1.0,1
S015,P027,562,44.79,2025-08-22,26.46,7.71,1
S004,P028,286,28.71,2025-07-21,56.5,3.14,1
S017,P019,753,55.88,2025-07-27,75.7,4.0,1
S001,P018,125,57.04,2025-08-25,78.21,8.14,0
S013,P001,746,34.85,2025-09-12,18.47,10.71,1
S007,P014,143,85.69,2025-09-12,52.68,10.71,0
S010,P002,267,76.57,2025-08-13,41.17,6.43,0
S016,P030,303,43.95,2025-07-28,14.33,4.14,1
S007,P020,807,63.87,2025-08-08,33.48,5.71,1
S007,P026,955,62.96,2025-09-01,55.09,9.14,1
S007,P025,374,68.71,2025-07-21,16.35,3.14,1
S006,P012,808,94.48,2025-08-06,94.62,5.43,1
S020,P007,713,68.04,2025-08-09,67.9,5.86,1
S008,P003,978,81.31,2025-08-17,94.73,7.0,1
S020,P023,884,82.22,2025-08-14,91.48,6.57,1
S018,P028,605,28.12,2025-07-17,19.07,2.57,1
S008,P022,947,4.86,2025-08-09,40.29,5.86,1
S016,P004,139,32.58,2025-07-31,71.35,4.57,1
S014,P016,467,26.81,2025-07-12,20.63,1.86,1
S016,P024,550,35.49,2025-09-18,88.97,11.57,1
S010,P021,469,42.38,2025-08-10,25.97,6.0,1
S005,P024,506,57.28,2025-08-23,75.85,7.86,1
S017,P011,597,37.83,2025-07-29,88.04,4.29,1
S003,P006,785,85.98,2025-08-29,77.58,8.71,1
S005,P006,266,24.59,2025-08-04,91.23,5.14,1
S016,P018,111,50.16,2025-07-18,90.6,2.71,1
S019,P030,226,6.3,2025-09-04,91.48,9.57,1
S015,P027,125,36.14,2025-08-02,95.51,4.86,1
S014,P024,433,48.77,2025-07-21,50.36,3.14,1
S009,P019,148,60.64,2025-08-26,70.53,8.29,0
S007,P022,533,94.67,2025-07-21,81.07,3.14,1
S009,P001,158,93.16,2025-09-01,15.18,9.14,0
S006,P009,272,6.53,2025-08-09,89.89,5.86,1
S017,P028,284,70.88,2025-09-19,71.92,11.71,0
S007,P004,541,86.82,2025-07-12,48.35,1.86,1
S008,P024,217,8.2,2025-08-24,90.27,8.0,1
S015,P006,243,9.05,2025-08-11,30.99,6.14,1
S020,P016,697,38.05,2025-09-08,89.23,10.14,1
S004,P009,706,94.78,2025-08-19,77.8,7.29,1
S020,P014,119,71.11,2025-07-24,79.94,3.57,1
S009,P018,231,70.8,2025-09-17,91.57,11.43,0
S013,P021,88,44.01,2025-08-19,11.02,7.29,0
S009,P028,269,57.58,2025-07-25,20.69,3.71,1
S005,P028,878,82.46,2025-08-13,77.14,6.43,1
S006,P026,397,96.26,2025-09-06,52.99,9.86,0
S002,P020,458,86.99,2025-08-12,49.27,6.29,1
S007,P026,107,2.2,2025-08-06,60.04,5.43,1
S010,P003,864,89.22,2025-09-18,92.72,11.57,1
S015,P011,725,55.83,2025-07-25,16.79,3.71,1
S017,P026,96,63.31,2025-07-19,36.5,2.86,1
S016,P001,562,63.13,2025-07-08,91.1,1.29,1
S008,P004,61,95.91,2025-07-21,90.12,3.14,0
S014,P001,457,62.39,2025-07-13,25.27,2.0,1
S005,P014,725,46.91,2025-09-01,30.65,9.14,1
S007,P008,589,8.7,2025-08-15,33.4,6.71,1
S019,P014,972,70.12,2025-07-22,35.18,3.29,1
S002,P009,773,60.68,2025-08-03,21.99,5.0,1
S010,P025,596,82.43,2025-09-25,47.5,12.57,0
S003,P025,758,61.73,2025-09-09,17.45,10.29,1
S011,P005,847,86.74,2025-07-10,12.37,1.57,1
S019,P020,850,77.98,2025-07-23,98.85,3.43,1
S004,P001,226,38.3,2025-07-31,44.28,4.57,1
S012,P020,903,83.09,2025-08-23,85.45,7.86,1
S008,P010,659,4.65,2025-07-06,11.23,1.0,1
S011,P013,872,86.61,2025-09-24,58.09,12.43,0
S009,P018,694,99.67,2025-08-27,62.66,8.43,1
S012,P004,614,94.53,2025-09-17,44.01,11.43,0
S007,P030,134,45.6,2025-07-06,95.86,1.0,1
